City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Trincomalee,LK,79.92,few clouds,8.5711,81.2335,Welcombe Hotel
304,Arteche,PH,81.54,overcast clouds,12.2645,125.4048,Sityo kawilan Barangay Garden
309,Kandrian,PG,82.36,light rain,-6.2167,149.55,Kandrian Station
315,Buala,SB,83.79,light rain,-8.145,159.5921,Maringe Lagoon Lodge
316,Bubaque,GW,77.49,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
317,Fare,PF,81.73,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
321,Mana,GF,75.81,broken clouds,5.6592,-53.7767,LE SAMANA
322,Noumea,NC,81.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
329,Bontang,ID,84.79,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
330,Pakxan,LA,84.02,clear sky,18.3778,103.6601,Kong Kham Pheng Guesthouse
334,Allada,BJ,77.76,few clouds,6.6655,2.1514,Royaume hotel d' Allada
336,Maryborough,AU,85.1,clear sky,-25.5333,152.7,Blue Shades Motel
337,Takoradi,GH,78.31,few clouds,4.8845,-1.7554,Raybow International Hotel
338,Manokwari,ID,82.27,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
343,Coruripe,BR,78.62,moderate rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
344,Moranbah,AU,89.92,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
346,Batemans Bay,AU,81.99,moderate rain,-35.7167,150.1833,Batemans Bay Marina Resort
356,Barra Dos Coqueiros,BR,78.82,broken clouds,-10.9089,-37.0386,Jangadeiro
368,Bac Lieu,VN,81.93,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
371,Isangel,VU,77.11,shower rain,-19.55,169.2667,Tanna Lodge
372,Nanakuli,US,78.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
381,Pochutla,MX,79.65,clear sky,15.7432,-96.4661,Hotel Posada San Jose
385,Mahebourg,MU,83.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
386,Rivadavia,AR,77.47,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
391,Boueni,YT,76.98,overcast clouds,-12.9025,45.0761,The feet in water
404,Sulya,IN,77.04,broken clouds,12.5667,75.3833,RIVER ISLAND LODGING
411,Alice Springs,AU,78.35,light intensity shower rain,-23.7,133.8833,Desert Palms Alice Springs
417,Phangnga,TH,88.83,few clouds,8.4509,98.5298,Sunimit Mansion
420,Norsup,VU,80.8,moderate rain,-16.0667,167.3833,Nabelchel Bungalows
423,Kavaratti,IN,80.62,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
428,Cape Coast,GH,77.83,few clouds,5.1053,-1.2466,Samrit Hotel
429,Belmopan,BZ,75.29,clear sky,17.25,-88.7667,Villa San Juan
432,Bambanglipuro,ID,84.72,broken clouds,-7.95,110.2833,Puri Brata
435,Sassandra,CI,77.76,scattered clouds,4.95,-6.0833,la terrasse
439,Nacala,MZ,75.25,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
440,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
455,Vung Tau,VN,79.77,scattered clouds,10.346,107.0843,Green hotel
472,Karratha,AU,89.67,broken clouds,-20.7377,116.8463,ibis Styles Karratha
473,Luanda,AO,77.58,overcast clouds,-8.8368,13.2343,Hotel Fórum
476,Quatre Cocos,MU,82.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
489,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
498,Victoria Point,AU,89.08,scattered clouds,-27.5833,153.3,Bay Retreat Motel
508,Clarence Town,AU,89.28,clear sky,-32.5833,151.7833,River Downs Cottage
513,Kudat,MY,84.13,few clouds,6.8837,116.8477,Dream Garden Hotel
521,Ahipara,NZ,75.63,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
522,Sabang,ID,82.38,few clouds,5.8933,95.3214,Hotel Citra
526,Ugoofaaru,MV,82.2,broken clouds,5.6667,73.0,Ungoofaaru Inn
535,Miri,MY,82.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
539,Puerto Madero,MX,77.2,scattered clouds,14.7208,-92.4215,Hospedaje madero
540,Lorengau,PG,81.97,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
546,Mareeba,AU,81.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
547,Biak,ID,81.37,overcast clouds,-0.9131,122.8766,Penginapan Kim
551,Sola,VU,80.42,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
552,Alyangula,AU,87.67,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
553,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
554,Black River,JM,78.8,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
557,Daru,PG,88.07,moderate rain,-9.0763,143.2092,Daru Lodge
559,Soledad,CO,80.96,few clouds,10.9184,-74.7646,Cochi y Cocho
563,Barao De Melgaco,BR,79.32,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
576,Cap Malheureux,MU,83.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
584,Monrovia,LR,76.77,scattered clouds,6.3005,-10.7969,Sunset Inn
586,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
587,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
593,The Valley,AI,76.86,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
605,Nabire,ID,85.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
620,Kalmunai,LK,78.64,scattered clouds,7.4167,81.8167,VS Villa
624,Port Macquarie,AU,84.16,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
628,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
639,Dondo,MZ,76.51,broken clouds,-19.6094,34.7431,Arco Iris
643,Mogadishu,SO,75.09,overcast clouds,2.0371,45.3438,Hotel Juba
644,Sibolga,ID,84.72,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
652,Charlestown,AU,88.5,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
666,Gizo,SB,84.76,light rain,-8.103,156.8419,Imagination Island
669,Bireun,ID,83.14,few clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
672,Innisfail,AU,78.35,overcast clouds,-17.5333,146.0333,Moondarra Motel
676,Payakumbuh,ID,81.36,broken clouds,-0.2202,100.6308,Dalimo Homestay
679,Cockburn Town,TC,78.04,clear sky,21.4612,-71.1419,Osprey Beach Hotel
681,Kupang,ID,84.78,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
691,Phichit,TH,89.11,few clouds,16.25,100.4167,Rommakham Homestay
