City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
389,Springbok,ZA,-29.6643,17.8865,65.79,52,0,4.09,clear sky
390,Balykshi,KZ,47.0667,51.8667,19.4,86,75,17.9,mist
391,Boueni,YT,-12.9025,45.0761,76.98,69,99,3.87,overcast clouds
392,Ntungamo,UG,-0.8833,29.65,65.77,70,98,3.51,overcast clouds
393,Zhezkazgan,KZ,47.8043,67.7144,10.38,79,100,11.18,light snow
394,Odessa,UA,46.4775,30.7326,35.53,87,75,13.42,broken clouds
395,Coahuayana,MX,18.7333,-103.6833,70.61,83,54,2.89,broken clouds
396,Onufriyivka,UA,48.9072,33.4487,32.86,97,100,13.65,light snow
397,Novoilinsk,RU,51.6829,108.7143,-5.15,93,96,1.7,overcast clouds
398,Oliver,CA,49.1831,-119.5524,31.64,74,100,5.75,overcast clouds
399,Kitimat,CA,54.0524,-128.6534,39.58,31,100,2.57,overcast clouds
400,Suntar,RU,62.1444,117.6319,-9.99,95,18,5.95,few clouds
401,Lander,US,42.833,-108.7307,37.81,68,0,0.0,clear sky
402,Walvis Bay,NA,-22.9575,14.5053,62.1,81,89,3.42,overcast clouds
403,Luba,GQ,3.4568,8.5547,75.09,72,100,3.67,overcast clouds
404,Sulya,IN,12.5667,75.3833,77.04,62,51,4.76,broken clouds
405,Den Helder,NL,52.9599,4.7593,48.18,93,100,21.0,overcast clouds
406,Talaya,RU,61.3833,152.75,-5.42,94,100,6.13,overcast clouds
407,Atbasar,KZ,51.8,68.3333,0.93,86,100,8.72,overcast clouds
408,Ericeira,PT,38.9627,-9.4156,54.3,58,0,15.82,clear sky
409,Khandyga,RU,62.6667,135.6,-28.88,92,39,1.43,scattered clouds
410,Ambilobe,MG,-13.2,49.05,72.99,92,88,2.13,overcast clouds
411,Alice Springs,AU,-23.7,133.8833,78.35,89,75,9.22,light intensity shower rain
412,Kaitangata,NZ,-46.2817,169.8464,63.93,71,99,4.29,overcast clouds
413,Te Anau,NZ,-45.4167,167.7167,70.9,41,98,7.85,light rain
414,Hammerfest,NO,70.6634,23.6821,16.25,92,20,2.3,few clouds
415,Mubi,NG,10.2676,13.2644,61.72,28,45,2.53,scattered clouds
416,Impfondo,CG,1.6381,18.0667,69.98,41,12,1.68,few clouds
417,Phangnga,TH,8.4509,98.5298,88.83,56,23,1.07,few clouds
418,Saint Anthony,US,45.0205,-93.218,8.62,69,20,3.0,few clouds
419,Olga,RU,43.7444,135.2892,13.84,41,61,14.2,broken clouds
420,Norsup,VU,-16.0667,167.3833,80.8,84,100,16.91,moderate rain
421,Dikson,RU,73.5069,80.5464,2.77,94,100,18.19,overcast clouds
422,Fort Morgan,US,40.2503,-103.8,36.82,74,0,6.91,clear sky
423,Kavaratti,IN,10.5669,72.642,80.62,72,7,10.33,clear sky
424,Leh,IN,34.1667,77.5833,-2.47,84,52,1.95,broken clouds
425,Sao Filipe,CV,14.8961,-24.4956,70.68,71,82,11.32,broken clouds
426,Banyo,CM,6.75,11.8167,62.85,28,95,3.4,overcast clouds
427,Gat,IL,31.61,34.7642,49.41,100,98,7.16,overcast clouds
428,Cape Coast,GH,5.1053,-1.2466,77.83,85,17,2.62,few clouds
429,Belmopan,BZ,17.25,-88.7667,75.29,94,3,0.87,clear sky
430,Odweyne,SO,9.4092,45.064,59.81,51,78,10.27,broken clouds
431,Yarada,IN,17.65,83.2667,73.72,56,20,5.75,haze
432,Bambanglipuro,ID,-7.95,110.2833,84.72,64,77,4.52,broken clouds
433,Naze,JP,28.3667,129.4833,56.32,81,100,9.46,overcast clouds
434,Cacapava,BR,-23.1008,-45.7069,70.05,99,100,2.66,overcast clouds
435,Sassandra,CI,4.95,-6.0833,77.76,87,32,1.7,scattered clouds
436,Paamiut,GL,61.994,-49.6678,21.97,88,100,24.7,light snow
437,San Cristobal,VE,7.7669,-72.225,69.98,83,5,3.38,clear sky
438,Port Hedland,AU,-20.3167,118.5667,95.05,43,100,9.22,overcast clouds
439,Nacala,MZ,-14.5428,40.6728,75.25,88,79,3.85,broken clouds
440,Acapulco,MX,16.8634,-99.8901,78.62,83,20,3.44,few clouds
441,Hereford,GB,52.0568,-2.7148,52.79,84,96,5.01,overcast clouds
442,Yulara,AU,-25.2406,130.9889,93.04,36,62,17.27,broken clouds
443,Waddan,LY,29.1614,16.139,43.03,72,0,2.64,clear sky
444,Sabaudia,IT,41.3003,13.0282,44.92,52,76,8.66,broken clouds
445,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.95,55,0,13.8,clear sky
446,Bikaner,IN,28.0167,73.3,58.77,21,0,5.95,clear sky
