City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hammerfest,NO,70.6634,23.6821,16.25,92,20,2.3,few clouds
79,Bada,RU,51.392,109.8717,2.53,86,58,2.57,broken clouds
80,Avarua,CK,-21.2078,-159.775,82.45,74,40,13.8,scattered clouds
81,Gorgan,IR,36.8387,54.4348,28.36,93,0,4.61,clear sky
82,Prince George,CA,53.9166,-122.753,29.64,89,100,3.44,overcast clouds
83,Bengkulu,ID,-3.8004,102.2655,82.81,68,100,2.46,overcast clouds
84,Atuona,PF,-9.8,-139.0333,77.67,78,10,13.82,clear sky
85,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,40,17.27,scattered clouds
86,Norwich,GB,52.6278,1.2983,49.86,90,75,12.66,broken clouds
87,Jacareacanga,BR,-6.2222,-57.7528,72.43,99,100,1.7,overcast clouds
88,Ingham,US,42.6,-84.3833,8.85,84,0,0.0,clear sky
89,Laguna,US,38.421,-121.4238,54.84,76,0,0.0,clear sky
90,Santa Marta,CO,11.2408,-74.199,80.89,67,72,14.0,broken clouds
91,Pemberton,CA,50.3164,-122.8027,28.26,87,58,1.88,broken clouds
92,Emerald,AU,-23.5333,148.1667,93.34,31,40,4.61,scattered clouds
93,Kloulklubed,PW,7.0419,134.2556,84.7,76,69,11.52,broken clouds
94,Chokurdakh,RU,70.6333,147.9167,-24.2,92,93,0.89,overcast clouds
95,Raymondville,US,26.4815,-97.7831,52.38,58,75,6.53,broken clouds
96,Forte Dei Marmi,IT,43.9648,10.1724,51.58,89,100,4.18,overcast clouds
97,Carnarvon,AU,-24.8667,113.6333,89.67,48,1,16.11,clear sky
98,Georgetown,MY,5.4112,100.3354,89.53,79,20,3.0,haze
99,Vila Velha,BR,-20.3297,-40.2925,78.75,85,0,1.01,clear sky
100,Namatanai,PG,-3.6667,152.4333,84.92,71,100,5.88,light rain
101,Ponta Delgada,PT,37.7333,-25.6667,58.5,77,20,6.91,few clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,66.09,74,0,1.99,clear sky
103,Tazovskiy,RU,67.4667,78.7,-5.15,100,99,4.81,overcast clouds
104,Huarmey,PE,-10.0681,-78.1522,70.38,84,100,7.4,overcast clouds
105,Smithers,CA,54.7804,-127.1743,30.52,74,100,2.3,overcast clouds
106,Noyabrsk,RU,63.1994,75.4507,-15.77,100,89,7.23,overcast clouds
107,Bud,US,39.447,-86.1758,14.18,64,14,9.08,few clouds
108,Tanda,IN,26.55,82.65,57.13,56,0,5.5,clear sky
109,Bilibino,RU,68.0546,166.4372,-6.95,94,100,3.38,overcast clouds
110,Leh,IN,34.1667,77.5833,2.66,86,53,2.55,broken clouds
111,Tabuk,PH,17.4189,121.4443,80.06,79,100,2.21,overcast clouds
112,San Cristobal,VE,7.7669,-72.225,69.98,83,4,3.11,clear sky
113,Razvilnoye,RU,46.2387,41.2987,35.04,85,100,15.37,overcast clouds
114,Kodiak,US,57.79,-152.4072,26.11,74,100,19.57,light snow
115,Suntar,RU,62.1444,117.6319,-7.6,93,23,6.53,few clouds
116,Pontianak,ID,-0.0333,109.3333,84.18,79,40,3.44,scattered clouds
117,Zhengjiatun,CN,43.5064,123.5064,14.13,62,0,7.67,clear sky
118,Waipawa,NZ,-41.4122,175.5153,70.43,41,2,3.15,clear sky
119,Annau,TM,37.8876,58.516,35.1,87,100,4.61,overcast clouds
120,Bambamarca,PE,-6.6833,-78.5333,52.97,95,100,4.5,overcast clouds
121,Tasiilaq,GL,65.6145,-37.6368,14.16,68,66,6.2,broken clouds
122,Agnibilekrou,CI,7.1344,-3.2047,67.8,96,54,1.79,broken clouds
123,Shahr-E Babak,IR,30.1165,55.1186,40.57,72,100,4.9,overcast clouds
124,Talnakh,RU,69.4865,88.3972,-0.8,95,100,10.36,light snow
125,Mogadouro,PT,41.3403,-6.7119,29.79,86,0,4.25,clear sky
126,Luganville,VU,-15.5333,167.1667,81.0,85,100,13.31,light rain
127,Bulawayo,ZW,-20.15,28.5833,65.86,97,95,4.41,overcast clouds
128,Farah,AF,32.5,62.5,46.15,52,9,4.5,clear sky
129,Iqaluit,CA,63.7506,-68.5145,-22.27,69,40,14.97,scattered clouds
